Postcode;Plaatsnaam;Deelgemeente;Provincie
1000;BRUSSEL;Neen;Brussel (19 gemeenten)
1005;Verenigde Vergadering van de Gemeenschappelijke ;;
1006;Raad van de Vlaamse Gemeenschapscommissie;;
1007;Assemblée de la Commission Communautaire Française;;
1008;Kamer van Volksvertegenwoordigers;;
1009;Belgische Senaat;;
1011;Vlaams Parlement;;
1012;Parlement de la communauté française;;
1020;Laken;Ja;Brussel (19 gemeenten)
1030;SCHAARBEEK;Neen;Brussel (19 gemeenten)
1031;Christelijke Sociale Organisaties;;
1033;RTL-TVI;;
1035;Ministerie van het Brussels Hoofdstedelijk Gewest;;
1040;ETTERBEEK;Neen;Brussel (19 gemeenten)
1041;International press center;;
1043;VRT;;
1044;RTBF;;
1046;European External Action Service;;
1047;Europees Parlement;;
1048;Europese unie - Raad;;
1049;Europese unie - Commissie;;
1050;ELSENE;Neen;Brussel (19 gemeenten)
1060;SINT-GILLIS;Neen;Brussel (19 gemeenten)
1070;ANDERLECHT;Neen;Brussel (19 gemeenten)
1080;SINT-JANS-MOLENBEEK;Neen;Brussel (19 gemeenten)
1081;KOEKELBERG;Neen;Brussel (19 gemeenten)
1082;SINT-AGATHA-BERCHEM;Neen;Brussel (19 gemeenten)
1083;GANSHOREN;Neen;Brussel (19 gemeenten)
1090;JETTE;Neen;Brussel (19 gemeenten)
1099;Brussel X;;
1100;Postcheque;;
1101;Scanning;;
1105;SOC;;
1110;NATO;;
1120;Neder-Over-Heembeek;Ja;Brussel (19 gemeenten)
1130;Haren;Ja;Brussel (19 gemeenten)
1140;EVERE;Neen;Brussel (19 gemeenten)
1150;SINT-PIETERS-WOLUWE;Neen;Brussel (19 gemeenten)
1160;OUDERGEM;Neen;Brussel (19 gemeenten)
1170;WATERMAAL-BOSVOORDE;Neen;Brussel (19 gemeenten)
1180;UKKEL;Neen;Brussel (19 gemeenten)
1190;VORST;Neen;Brussel (19 gemeenten)
1200;SINT-LAMBRECHTS-WOLUWE;Neen;Brussel (19 gemeenten)
1210;SINT-JOOST-TEN-NOODE;Neen;Brussel (19 gemeenten)
1212;FOD Mobiliteit;;
1300;Limal;Ja;Waals-Brabant
1300;WAVRE;Neen;Waals-Brabant
1301;Bierges;Ja;Waals-Brabant
1310;LA HULPE;Neen;Waals-Brabant
1315;Glimes;Ja;Waals-Brabant
1315;INCOURT;Neen;Waals-Brabant
1315;Opprebais;Ja;Waals-Brabant
1315;Piètrebais;Ja;Waals-Brabant
1315;Roux-Miroir;Ja;Waals-Brabant
1320;BEAUVECHAIN;Neen;Waals-Brabant
1320;Hamme-Mille;Ja;Waals-Brabant
1320;L'Ecluse;Ja;Waals-Brabant
1320;Nodebais;Ja;Waals-Brabant
1320;Tourinnes-La-Grosse;Ja;Waals-Brabant
1325;Bonlez;Ja;Waals-Brabant
1325;CHAUMONT-GISTOUX;Neen;Waals-Brabant
1325;Corroy-Le-Grand;Ja;Waals-Brabant
1325;Dion-Valmont;Ja;Waals-Brabant
1325;Longueville;Ja;Waals-Brabant
1330;RIXENSART;Neen;Waals-Brabant
1331;Rosières;Ja;Waals-Brabant
1332;Genval;Ja;Waals-Brabant
1340;Ottignies;Ja;Waals-Brabant
1340;OTTIGNIES-LOUVAIN-LA-NEUVE;Neen;Waals-Brabant
1341;Céroux-Mousty;Ja;Waals-Brabant
1342;Limelette;Ja;Waals-Brabant
1348;Louvain-La-Neuve;Ja;Waals-Brabant
1350;Enines;Ja;Waals-Brabant
1350;Folx-Les-Caves;Ja;Waals-Brabant
1350;Jandrain-Jandrenouille;Ja;Waals-Brabant
1350;Jauche;Ja;Waals-Brabant
1350;Marilles;Ja;Waals-Brabant
1350;Noduwez;Ja;Waals-Brabant
1350;ORP-JAUCHE;Neen;Waals-Brabant
1350;Orp-Le-Grand;Ja;Waals-Brabant
1357;HÉLÉCINE;Neen;Waals-Brabant
1357;Linsmeau;Ja;Waals-Brabant
1357;Neerheylissem;Ja;Waals-Brabant
1357;Opheylissem;Ja;Waals-Brabant
1360;Malèves-Sainte-Marie-Wastines;Ja;Waals-Brabant
1360;Orbais;Ja;Waals-Brabant
1360;PERWEZ;Neen;Waals-Brabant
1360;Thorembais-Les-Béguines;Ja;Waals-Brabant
1360;Thorembais-Saint-Trond;Ja;Waals-Brabant
1367;Autre-Eglise;Ja;Waals-Brabant
1367;Bomal;Ja;Waals-Brabant
1367;Geest-Gérompont-Petit-Rosière;Ja;Waals-Brabant
1367;Gérompont;Ja;Waals-Brabant
1367;Grand-Rosière-Hottomont;Ja;Waals-Brabant
1367;Huppaye;Ja;Waals-Brabant
1367;Mont-Saint-André;Ja;Waals-Brabant
1367;RAMILLIES;Neen;Waals-Brabant
1370;Dongelberg;Ja;Waals-Brabant
1370;Jauchelette;Ja;Waals-Brabant
1370;JODOIGNE;Neen;Waals-Brabant
1370;Jodoigne-Souveraine;Ja;Waals-Brabant
1370;Lathuy;Ja;Waals-Brabant
1370;Mélin;Ja;Waals-Brabant
1370;Piétrain;Ja;Waals-Brabant
1370;Saint-Jean-Geest;Ja;Waals-Brabant
1370;Saint-Remy-Geest;Ja;Waals-Brabant
1370;Zétrud-Lumay;Ja;Waals-Brabant
1380;Couture-Saint-Germain;Ja;Waals-Brabant
1380;LASNE;Neen;Waals-Brabant
1380;Lasne-Chapelle-Saint-Lambert;Ja;Waals-Brabant
1380;Maransart;Ja;Waals-Brabant
1380;Ohain;Ja;Waals-Brabant
1380;Plancenoit;Ja;Waals-Brabant
1390;Archennes;Ja;Waals-Brabant
1390;Biez;Ja;Waals-Brabant
1390;Bossut-Gottechain;Ja;Waals-Brabant
1390;GREZ-DOICEAU;Neen;Waals-Brabant
1390;Nethen;Ja;Waals-Brabant
1400;Monstreux;Ja;Waals-Brabant
1400;NIVELLES;Neen;Waals-Brabant
1401;Baulers;Ja;Waals-Brabant
1402;Thines;Ja;Waals-Brabant
1404;Bornival;Ja;Waals-Brabant
1410;WATERLOO;Neen;Waals-Brabant
1420;BRAINE-L'ALLEUD;Neen;Waals-Brabant
1421;Ophain-Bois-Seigneur-Isaac;Ja;Waals-Brabant
1428;Lillois-Witterzée;Ja;Waals-Brabant
1430;Bierghes;Ja;Waals-Brabant
1430;Quenast;Ja;Waals-Brabant
1430;REBECQ;Neen;Waals-Brabant
1430;Rebecq-Rognon;Ja;Waals-Brabant
1435;Corbais;Ja;Waals-Brabant
1435;Hévillers;Ja;Waals-Brabant
1435;MONT-SAINT-GUIBERT;Neen;Waals-Brabant
1440;BRAINE-LE-CHÂTEAU;Neen;Waals-Brabant
1440;Wauthier-Braine;Ja;Waals-Brabant
1450;CHASTRE;Neen;Waals-Brabant
1450;Chastre-Villeroux-Blanmont;Ja;Waals-Brabant
1450;Cortil-Noirmont;Ja;Waals-Brabant
1450;Gentinnes;Ja;Waals-Brabant
1450;Saint-Géry;Ja;Waals-Brabant
1457;Nil-Saint-Vincent-Saint-Martin;Ja;Waals-Brabant
1457;Tourinnes-Saint-Lambert;Ja;Waals-Brabant
1457;WALHAIN;Neen;Waals-Brabant
1457;Walhain-Saint-Paul;Ja;Waals-Brabant
1460;ITTRE;Neen;Waals-Brabant
1460;Virginal-Samme;Ja;Waals-Brabant
1461;Haut-Ittre;Ja;Waals-Brabant
1470;Baisy-Thy;Ja;Waals-Brabant
1470;Bousval;Ja;Waals-Brabant
1470;GENAPPE;Neen;Waals-Brabant
1471;Loupoigne;Ja;Waals-Brabant
1472;Vieux-Genappe;Ja;Waals-Brabant
1473;Glabais;Ja;Waals-Brabant
1474;Ways;Ja;Waals-Brabant
1476;Houtain-Le-Val;Ja;Waals-Brabant
1480;Clabecq;Ja;Waals-Brabant
1480;Oisquercq;Ja;Waals-Brabant
1480;Saintes;Ja;Waals-Brabant
1480;TUBIZE;Neen;Waals-Brabant
1490;COURT-SAINT-ETIENNE;Neen;Waals-Brabant
1495;Marbais;Ja;Waals-Brabant
1495;Mellery;Ja;Waals-Brabant
